createdby,itemtotalprice,productname,description,modifiedon,createdon,itemprice,tax,itemquantity,ownerid,modifiedby,catalognumber,itemorder,productid,crmorderid,crmorderitemid,createdbyname,owneridname,modifiedbyname,productidname,crmorderidname,taxname
89F9D1ED-F191-4447-AA29-879331BA9B19,420,משלוח,,2025-11-23 09:25:38.000,2025-11-23 09:25:38.000,420,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,8CECF646-B96B-4CCD-97A6-C8040151692C,1F261056-95FB-4E7A-AA9E-ACD41153732A,מירית יוסף,מירית יוסף,מירית יוסף,,7666,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,750,תחתיות לכוסות,תחתיות עץ ממותגות,2025-09-17 13:01:21.000,2025-09-17 13:01:21.000,15,1,50,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,B03EA67E-EC3E-42BF-85A8-871237ABA5D0,1326B60A-DDDC-45E4-A492-ACF65C0F2EC9,מירית יוסף,מירית יוסף,מירית יוסף,,7625,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,1680,מפיץ ריח לרכב,מפיץ ריח עם חבק ממותג,2025-11-05 10:19:34.000,2025-11-05 10:19:34.000,12,1,140,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,,072731F6-BA02-4052-9581-48D329B30B9F,7B2E3081-374E-41CB-9F47-AD1B80D15D03,מירית יוסף,מירית יוסף,מירית יוסף,,7653,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,70,משלוח,,2025-12-07 16:14:31.000,2025-12-07 16:14:31.000,70,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,6EFD8803-A366-4AE8-BAF7-70B595AF6DBE,A4D3FD83-E030-49C0-B4ED-AD7BAB2AE1DF,מירית יוסף,מירית יוסף,מירית יוסף,,7683,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,1500,חטיף אנרגיה,חטיף אנרגיה ממותג,2025-08-19 12:20:10.000,2025-08-19 12:20:10.000,15,1,100,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,7,,382C5C50-002A-437F-B606-4FCB84786DCF,26CBCF88-254C-4F97-89AF-AE5A8D98A954,מירית יוסף,מירית יוסף,מירית יוסף,,7603,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,3080,קופסת מתכת אישית ללא מילוי,קופסת מתכת אישית  מעוצבת 6*10  ללא מילוי.,2025-12-24 15:48:44.000,2025-12-24 10:08:48.047,14,,220,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,1A4D8BCF-2C7B-464B-82AD-230C01D7A9E9,708FB401-417D-4AD8-A15D-2B28FEEB8C16,38C699CF-D2E7-4EF9-8E4B-AE7178D71C11,מירית יוסף,מירית יוסף,מירית יוסף,קופסת מתכת אישית ללא מילוי,7695,
89F9D1ED-F191-4447-AA29-879331BA9B19,70,משלוח,,2026-03-23 10:34:53.000,2026-03-23 10:34:53.000,70,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,2D621138-943A-4004-B33A-656A4CB73E2B,4BD5CD2C-AC18-41F3-BB99-AE8B243CF31E,מירית יוסף,מירית יוסף,מירית יוסף,,7755,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,70,משלוח,,2025-11-13 12:52:12.000,2025-11-13 12:52:12.000,70,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,5,,100AE8E1-95BF-4C42-BF8D-C6626A0C3893,9F2531CF-46F9-4AF8-ABE0-AFA61794BFEF,מירית יוסף,מירית יוסף,מירית יוסף,,7663,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,1300,כריות ממותגות,,2025-09-08 10:52:22.000,2025-09-08 10:52:22.000,65,1,20,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,,A4641CC9-B7DC-44C2-91D4-B5365C102432,B4FABC62-6A6D-4C6A-AE5F-AFA90A0E0863,מירית יוסף,מירית יוסף,מירית יוסף,,7619,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,3375,ציידנית לשנה טובה,ציידנית משפחתית עם מיתוג,2026-02-09 14:37:08.000,2026-02-09 14:37:08.000,125,1,27,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,,FCC0ED5C-097F-497F-AB33-085D0D91D8E5,2A8C90D6-41C4-4B18-8165-B19B35A7E6BB,מירית יוסף,מירית יוסף,מירית יוסף,,7729,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,940,חידה בעץ,חידת עץ באריזת פלסטיק ממותגת,2025-08-10 11:39:38.000,2025-08-10 11:39:38.000,20,1,47,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,1358,1,7D0E099D-159D-4A39-933F-002ECB3CB16C,93943F99-9DEA-44DB-8767-B592E504356C,970130DF-5785-48D7-9DC8-B2A6B04B83D8,מירית יוסף,מירית יוסף,מירית יוסף,חידה בעץ,7588,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,690,משלוח,,2025-11-09 12:13:55.000,2025-11-06 16:36:30.000,690,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,7,,BBFDD02B-80B1-40D7-9525-384803D7C05B,FEFF9908-64A0-41C6-9521-B42FD912A381,מירית יוסף,מירית יוסף,מירית יוסף,,7656,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,210,משלוח,,2025-12-02 10:22:39.000,2025-12-02 10:22:39.000,210,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,813F22E3-78B3-42AE-924B-6582254A0C6A,730FCF0D-68FC-4A5D-8E45-B458054BF44B,מירית יוסף,מירית יוסף,מירית יוסף,,7678,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,420,משלוח,,2025-11-06 10:24:04.000,2025-11-06 10:24:04.000,420,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,7,,06B89036-1F63-4174-B500-2B3BB7F4205B,1F4538C6-4209-4D7A-B8D1-B49D6598E3B6,מירית יוסף,מירית יוסף,מירית יוסף,,7649,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,350,משלוח,,2026-01-29 12:53:16.000,2026-01-29 12:53:16.000,350,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,4,,B39306EA-2C38-49A5-9BD2-E3783CE6450D,9CD2D28D-CD52-4AD0-B6D1-B631409354CE,מירית יוסף,מירית יוסף,מירית יוסף,,7720,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,400,משלוח חולון מרוכז,עבור 50 מארזים מתוך ה170,2026-02-03 17:26:50.000,2026-02-03 17:25:05.000,400,1,1,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,3,,5DE9EC90-FB39-4299-8091-0A333042B93B,2392F38E-6BF2-4185-9A0E-B6543341E9C6,מירית יוסף,מירית יוסף,מירית יוסף,,7723,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,800,מחזיק מפתחות מזמור לתודה,,2026-03-08 16:03:40.000,2026-03-08 16:03:40.000,16,1,50,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,4,,779DF11C-C2EF-4557-8449-D785F21DF664,26D75F0C-5DD6-47BB-9AC0-B65596C7BE28,מירית יוסף,מירית יוסף,מירית יוסף,,7749,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,2200,כרית מושב ממותגת,כרית מושב ממותגת בהדפסה (לא אולאובר),2025-10-23 12:03:00.000,2025-10-23 12:03:00.000,22,1,100,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,2,,18E06C18-153C-4EDB-B7AD-D036AD7B5FE8,CD8BE8B1-9AF4-4FB3-9D17-B6BF42F63022,מירית יוסף,מירית יוסף,מירית יוסף,,7642,לפני
89F9D1ED-F191-4447-AA29-879331BA9B19,5850,הגדה לפסח מוטבעת,הגדה כריכה קשה דמוי עור גודל 13*13 עם הטבעת זהב,2026-03-23 10:34:42.000,2026-03-23 10:34:42.000,39,1,150,89F9D1ED-F191-4447-AA29-879331BA9B19,89F9D1ED-F191-4447-AA29-879331BA9B19,,1,,2D621138-943A-4004-B33A-656A4CB73E2B,9ADB2012-117A-42DD-9D13-B722F70F7529,מירית יוסף,מירית יוסף,מירית יוסף,,7755,לפני
